Title,Price,Discount
"ZEBRONICS PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",₹199.00,50%
"Portronics Konnect X 60W Type C to Type C Unbreakable Nylon Braided Cable, 2M Fast Charging Cable for iPhone 15 series, iPad, Samsung Galaxy & other Type C Devices(White)",₹198.00,50%
"Dell KB216-Black Multimedia Wired Keyboard with USB Interface, Plunger Keys Technology and Chiclet Key Style, Hot Key-Volume, Mute, Play/Pause, Backward, Forward, Warranty 1 Year.",₹559.00,50%
"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White","₹1,299.00",50%
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",₹144.00,50%
"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)","₹1,399.00",50%
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","₹1,549.00",50%
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","₹7,498.00",50%
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),₹349.00,50%
"boAt Type C A325/A320 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480 Mbps Data Transmission Speed, Compatible with Smartphones & Tablets(Black)",₹125.00,50%
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","₹6,499.00",50%
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹9,498.00",50%
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, Bluetooth Neckband, Wireless with Mic Earphones (Active Black)","₹1,049.00",50%
realme Buds 2 Wired in Ear Earphones with Mic (Black),₹599.00,50%
"boAt Rockerz 255 Z Plus, AI-ENx Tech, Spatial Audio, 50HRS Battery, Low Latency Mode, Fast Charge, App Support, IPX4, GFPS, BT v5.3, Bluetooth Neckband, Wireless With Mic Earphones (Classic Black)",₹999.00,50%
"boAt [New Launch] Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Midnight Black)",₹798.00,50%
Apple EarPods (USB-C),"₹1,549.00",50%
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","₹8,498.00",50%
"SanDisk Ultra 64GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",₹549.00,50%
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","₹17,999.00",50%
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹8,498.00",50%
"boAt Airdopes 141, Low Latency, ENx Tech, 42HRS Battery, Fast Charge, IWP, IPX4, v5.1 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Bold Black)",₹999.00,50%
"SanDisk Ultra 128GB microSDXC UHS-I, 140MB/s R, Memory Card, 10 Y Warranty, for Smartphones",₹899.00,50%
"Samsung Original 25W Type-C Travel Adaptor Without Cable, Black","₹1,008.00",50%
"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light","₹19,999.00",50%
"boAt Airdopes 121 Pro Plus, 100HRS Battery, 4Mics ENx, 50ms Low Latency, Fast Charge, LED Display, IPX5, v5.3 Bluetooth in Ear Earbuds, TWS Ear Buds Wireless Earphones with mic (Black)",₹999.00,50%
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",₹599.00,50%
"SAMSUNG EVO Plus 128GB Micro SDXC w/SD Adaptor, Up-to 160MB/s, Expanded Storage for Gaming Devices, Android Tablets and Smart Phones, Memory Card, MB-MC128SA/IN",₹999.00,50%
"boAt Bassheads 100 C Wired Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility(Black)",₹549.00,50%
"Boult Audio W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, Touch Controls, IPX5 ear buds TWS (Space Black)",₹799.00,50%
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹9,498.00",50%
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)","₹1,299.00",50%
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [ Misty Grey ]","₹1,699.00",50%
HIT Anti Mosquito Racquet | 6 months Warranty | Rechargeable Mosquito Killer Bat with LED Light | Charge Before Use,₹479.00,50%
Classic Mosquito Net for Double Bed | King Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion Resistant Steel Wire - Blue,₹996.00,50%
HIT Flying Insect Killer - Mosquito & Fly Killer Spray (400ml) | Lime Fragrance | Instant Kill | Protection from Dengue & Malaria | Pack of 1,₹199.00,50%
"Hit Flying Insect Killer - Mosquito & Fly Killer Spray (700Ml) | Instant Kill | Protection From Dengue & Malaria, Pack Of 1",₹319.00,50%
"Konvio Neer Imported Tds Meter, Total Dissolved Solids Meter, Water Quality Tester, Ppm Tester For Water Testing - White",₹299.00,50%
"HIT Crawling Insect Killer Cockroach Killer Spray | Instant Kill | Deep-Reach Nozzle | Fresh Fragrance, 700ml",₹399.00,50%
"3M Rodent Repellent Coating, 250 g| Rat Protection for Engine Parts and Wires | Long-Lasting Effect",₹509.00,50%
Weird Wolf Heavy Duty Mosquito Racket Bat | Rechargeable Electric Fly Swatter | Mosquito Killer Racquet with Type-C Charging and 6 Months Warranty (Maroon),₹499.00,50%
"KNOQ AWAY Cockroach Bait, Alternative to Anti Roach Gel, Cockroach Paste, Cockroach Gel, Cockroach Pellet/Powder & Cockroach Spray. Cockroach Repellant for Home,Kitchen, & Hotels (Pack of 6 Baits)",₹310.00,50%
"Weird Wolf 2 in 1 UV Light Electric Fly Swatter Mosquito Racket Bat with Base Stand, Lithium Battery, USB Charging, 6 Months Warranty, Green",₹625.00,50%
"LifeKrafts Polyester Magnetic Mosquito Net for Door | Mosquito Curtain for All Door Types & Sizes | Auto-Closing Insect Screen to Keep Mosquito Out (200x100 cm, Brown)",₹889.00,50%
Shadow Securitronics Tom CAT No Entry Rat Repellent Spray for Cars Highly Effective with and Lasts 1 Year Leak Free Easy to Spray Nozzle 1st time in India (1),₹509.00,50%
"LifeKrafts Polyester Magnetic Mosquito Net for Door | Mosquito Curtain for All Door Types & Sizes | Auto-Closing Insect Screen to Keep Mosquito Out (210x100 cms, Grey)",₹889.00,50%
Go Garden - All Purpose Bio DAP Fertilizer for Home Plants & Gardening Purpose - 100% Water Soluble Fertilizer 400 Gram Granules,₹199.00,50%
Kraft Seeds by 10CLUB Pressure Spray Pump (2L) | Gardening Water Pump Sprayer | Plant Water Sprayer for Home Garden | Spray Bottles for Garden Plants and Lawn | Plant Watering Can,₹297.00,50%
"Mortein 45ml x 6 (Buy 4 Get 2 Free) Fits All Machines | SmartPlus Mosquito Repellent Refill | Mosquito Repellent & Killer | 100% Protection from Dengue Mosquitoes, Pack of 6",₹308.00,50%
Weird Wolf Heavy Duty Mosquito Racket Bat | Rechargeable Electric Fly Swatter | Mosquito Killer Racquet with 2 Pin Plug and 3 Months Warranty (Dark Green),₹299.00,50%
TrustBasket Nutrient Rich Organic Vermicompost Fertilizer Manure For Plants | Vermicompost For Plants | Compost For Plants Home Garden - 5 Kg,₹348.00,50%
"LifeKrafts UPGRADED & STITCHED Window Mosquito Net (Size-120x120cms/47*47 Inches/3.94*3.94 Feet, Color-Grey) 120 GSM Fiberglass Insect Net Pre-stitched to Net - Ready to use Net",₹579.00,50%
"Pidilite Terminator Eco-Friendly Termite Killer Spray| Wood Preservative and Termite, Borer, Insect Repellant Spray| For Home, Kitchen and Offices (1 Ltr)",₹359.00,50%
Ugaoo Organic Potting Garden Soil Mix for Plants Home Garden 5 Kg,₹368.00,50%
Ugaoo Organic Vermicompost Fertilizer Manure For Plants - 5 Kg,₹339.00,50%
"Gecko Pest Control & Insect Repellent Spray For Rat Cockroach, Lizard, Ant, Termite, Bed Bugs, Spider, Fly, Centipede, Mouse, Bed Bugs 100% Natural | No Kill Just Repel Easy To Use Non-Toxic (200Ml) |",₹345.00,50%
Ugaoo Cocopeat Block for Home Garden Plants 5 Kg,₹359.00,50%
Amazon Brand - Solimo Bird and Pigeon Control Spikes | Weather Resistant | 13 in x 1 in x 3.7 in | Maintenance-Free (10 Pcs),₹368.00,50%
Ugaoo Cow Dung Manure Fertilizers for Plants & Home Gardening - 5 kg,₹259.00,50%
Amazon Brand - Solimo Round Pots for Plants with Bottom Tray | Lightweight | Indoor and Outdoor Flower Pot for Home/Office/Table/Garden/Balcony Decoration | 8 inch (Set of 12),₹368.00,50%
"Mortein 100 gm - PowerGard Rat Kill Cake| Kills Rats Outdoors in One Feed | Effective Against All Types of Rats | Effective Rat Killer for Home, Car & Outdoors| Kills Rat, Mouse and Rodents",₹549.00,50%
"SVH� Insulated Travel Lunch/Tiffin/Storage Bag for Office, College & School (Blue) (Cotton)",₹64.00,50%
